,Tweets,,,
287,Leaving for Geneva today to co-host International Conference on Resilient Pakistan along with UN Secretary General. Will take the opportunity to present the case of flood victims before the world. I will also throw light on steps my govt has taken for relief & rehabilitation. 1/3,,,
288,Off to Egypt to attend #COP27,,,
289,"Deeply saddened to learn about the passing of Fahd Husain's father, Brig. (r ) Javed Husain. I extend my heartfelt condolences and most sincere sympathies to the bereaved family & pray to Allah Almighty to rest the departed soul in peace. Ameen",,,
290,"Strongly condemn the assassination of respected Al-Jazeera journalist, Shireen Abu Akleh, at the hands of Israeli forces. Silencing voices of those who tell stories of oppressed people is part of a deliberate strategy employed by Israel & India in Palestine & Occupied Kashmir.",,,
291,میرعلی ،شمالی وزیرستان میں خودکش حملے میں 4 فوجی جوانوں کی شہادت پر مجھ سمیت پوری قوم دکھی اور رنجیدہ ہے۔ اللہ تعالی سے دعا ہے کہ وہ ان شہداء کی ملک کے دفاع اور امن کے لئے دی جانے والی قربانیوں کو قبول فرمائے اور ان کے پسماندگان کو صبر جمیل عطا کرے۔شہداء ہمارے سر کا تاج ہیں۔,,,
292,آج 7 ستمبر کے دن پوری قوم یومِ فضائیہ منا رہی ہے. پاکستان کی آزاد فضاؤں کےمحافظوں نےہمیشہ وقت آنےپر دشمن کو یہ بات باورکروائی کہ وطن عزیز کی طرف میلی آنکھ سےدیکھنے والوں کو ہمیشہ منہ کی کھانی پڑےگی. جنگِ ستمبر 1965 کےشہداء اور غازیوں کو مجھ سمیت پوری قوم خراجِ تحسین پیش کرتی ہے,,,
293,Sharing my thoughts on how we aim to shield financially weaker citizens from economic hardships by having financially stronger people contribute more to national treasure through taxes:,,,
294,مجھے پورا بھروسہ ہے کہ ہم اپنے ایمان کی طاقت، اتحاد اور بھائی چارے سے اپنی صفوں میں ایسا نظم و ضبط لے کر آئیں گے کہ صرف سیلاب و معاشی مشکلات نہیں بلکہ تمام چیلینجز پرقابو پاکر قائد کےعظیم پاکستان کی منزل کو جلد حاصل کر لیں گے.راستہ دشوار ضرور ہےمگر منزل کا حصول ناممکن ہر گز نہیں.,,,
295,"Just concluded a very exhausitive session with the national media bodies in which they were briefed about the scale of flood calamity, current status of rescue & relief efforts & the upcoming challenge of rehabilitation. My talk on the occasion primarily consisted of two points.",,,
296,Pakistan sincerely thanks HRH Crown Prince Mohammed Bin Salman for Saudi Arabia's generous announcement of $1 billion @ Resilient Pakistan. We are immensely grateful for his decision to consider increasing Saudi investment up to $10 billion & deposits with SBP to $5 billion  ,,,
297,"Grateful to U.S. govt for the announcement of an additional $ 30 million in humanitarian assistance for flood victims. With the start of winter, challenges of food, health & shelter still persist. World should promptly contribute to UN aid appeal to mitigate the impact of tragedy",,,
298,Today is a black day for Indian democracy & its justice system. India can imprison Yasin Malik physically but it can never imprison idea of freedom he symbolises. Life imprisonment for valiant freedom fighter will provide fresh impetus to Kashmiris' right to self-determination.,,,
299,مع نهاية شهر رمضان المبارك أسأل الله للجميع قبوله، وبمناسبة عيد الفطر السعيد أرفع أسمى آيات التهاني والتبريكات، وأتمنى عيدًا سعيدًا ومباركًا على المسلمين في أنحاء العالم، وأهنئ زملائي القادة المسلمين، وأعيد التأكيد على عزم باكستان على تعزيز علاقاتنا الطويلة مع بلدانهم.,,,
300,رمضان المبارک کے آغاز پر پوری قوم اور عالم اسلام کو مبارکباد پیش کرتا ہوں۔ یہ مہینہ ہمیں خود احتسابی، پابند زندگی گزارنے اور قربانی کا درس دیتا ہے۔ اللہ تعالی ہمیں رمضان المبارک کے فیوض وبرکات سے مستفید ہونے کی توفیق عطا کرے۔ آپ سب کو ماہ صیام مبارک,,,
301,"I extend my heartiest felicitations to H.E. Anwar Ibrahim 
@anwaribrahim
 on taking oath of office as the Prime Minister of Malaysia. I look forward to working closely with him to further deepen the longstanding fraternal ties between our two friendly countries.",,,
302,تاریخی سیلاب کی تباہ کاریوں اور دیگر مسائل سے نبردآزما ہوتے ہوئے ہمیں آج 1965 کے جذبے کی ضرورت ہے۔ قوم کا اتحاد ہی ہماری سب سے بڑی طاقت ہے۔ مسلح افواج اور عوام کے اتحاد کے رشتے کو توڑنے کا ارادہ کرنے والا پاکستان کا دوست نہیں ہو سکتا۔ آئیں قوم کے اتحاد کے اس رشتے کو مضبوط بنائیں۔,,,
303,"Saddened by the passing of veteran journalist and president of Geo TV Imran Aslam. He belonged to a breed of journalists who made eminent contribution to the development of Pakistani journalism. I extend my heartfelt condolences to his family, friends & colleagues.",,,
304,"The audio tape that surfaced recently exposes Imran Khan’s hypocrisy & double standards. Contrary to his claims, he sought NRO to save himself & his govt. The fake story of foreign conspiracy was manufactured after all his efforts failed. His lies stand exposed.",,,
305,ہزارہابرس سےسندھ کی تہذیب نہ صرف اس خطے بلکہ انسانیت کی تہذیب میں اپنی تقافت سےخوبصورتی کا رنگ بھرتی آرہی ہے. آج باب الاسلام سندھ کا تقافتی دن،پاکستان میں وفاق کی ایک اکائی کی خوبصورتی اجاگر کرنے کا دن ہے. میں تمام سندھی بھائیوں اور بہنوں کو اس دن پر بے حد مبارکباد پیش کرتا ہوں.,,,
306,"As Pakistan grapples with the historic floods & other challenges, we need to summon the spirit of 1965. National unity is our greatest strength. Anyone intending to hurt the bond between our armed forces & people is not a friend of Pakistan. Let us fortify this bond of One Nation",,,
307,It was a pleasure to be at Pakistan Naval Academy Commissioning Parade as Chief Guest in Karachi. Our govt is committed to provide all resources necessary to strengthen Pakistan Navy.,,,
308,کاروباری برادری سے ملاقاتوں میں، میں انہیں پاکستان میں سرمایہ کاری کے پرکشش مواقع کے بارے میں آگاہ کروں گا جن میں قابل تجدید توانائی، فوڈ سکیورٹی، صنعت و انفراسٹرکچر کی ترقی، سیاحت اورمہمان نوازی کے شعبے شامل ہیں۔,,,
309,Climate crisis has severely threatened nations' capacity to achieve SDGs. Return to business-as-usual is out of question. World needs to employ vision & solidarity to transition to a sustainable future of hope. Darkness of disasters should be replaced by light of opportunity.,,,
310,Pakistan's economic security is deeply linked to its political stability. Time has come for political forces & all stakeholders to rise above their narrow interests & agree on Charter of Economy. Let this Charter b a sacred trust adhered to by all to ensure continuity of policies,,,
